code,ergp_line_item,mda,mother_ministry,amount,similarity_score,mandate_deviation_score
ERGP27174747,"UPGRADE OF FACILITIES IN THE HEADQUARTERS BUILDING (OLD) AND STATE OFFICES
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,525000000.0,0.2687,73.13
ERGP27174760,"CONSTRUCTION OF FMARD HEADQUARTERS OFFICE COMPLEX
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,5670000000.0,0.2128,78.72
ERGP27231566,"CONSTRUCTION OF PUBLIC TOILETS, RURAL MARKETS AND HOUSING INFRASTRUCTURES IN THE SIX GEO-POLITICAL ZONES",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,764893597.0,0.3541,64.59
ERGP28175039,PROVISION OF PORTABLE WATER IN RURAL COMMUNITIES IN THE 6 GEO-POLITICAL ZONES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1050000000.0,0.262,73.8
ERGP30105248,"CONTRIBUTION TO INTERNATIONAL ORGANIZATIONS
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,117788792.0,0.2296,77.04
ERGP30126578,"RESEARCH ON HUMAN CAPITAL DEVELOPMENT IN AGRICULTURE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,385000000.0,0.1771,82.29
ERGP30159116,"COUNTERPART FUNDING OF AGRICULTURAL PROJECTS WITH DONOR AGENCIES
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,511649483.0,0.2631,73.69
ERGP30174655,"SURVEYING AND MAPPING OF ACQUIRED MINISTRY'S LANDS AND FACILITIES
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,50575907.0,0.2979,70.21
ERGP30174685,"IMPLEMENTATION OF AGRICULTURAL FOOD SECURITY PROGRAMS
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,350000000.0,0.2241,77.59
ERGP30174912,"NATIONAL COUNCIL ON AGRICULTURE AND RURAL DEVELOPMENT
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,129799968.0,0.3113,68.87
ERGP30175085,"MAINSTREAMING GENDER IN AGRIBUSINESS
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,607517786.0,0.098,90.2
ERGP30175109,NATIONAL PROGRAMME FOR THE CONTROL OF TRANSBOUNDARY PESTS AND INTEGRATED PESTS SURVEILLANCE,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,350000000.0,0.2079,79.21
ERGP30193870,INFRASTRUCUTURES DEVELOPMENT IN THE 37 FIELD AND 6 ZONAL COORDINATING OFFICES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,700000000.0,0.2895,71.05
ERGP30208758,"AGRICULTURE AND FOOD SECURITY STAKEHOLDERS' ANALYSIS AND MAPPING STUDY
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,35209245.0,0.2882,71.18
ERGP30208761,REVIEW OF EXISTING AGRICULTURAL LAWS AND DRAFTING OF NEW ONES TO SUPPORT AGRIBUSINESS AND INVESTMENTS FOR AGRICULTURAL DEVELOPMENT AND FOOD AND,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,140000000.0,0.2472,75.28
ERGP30208768,INSTITUTIONALIZING THE NIGERIAN FOOD SYSTEM DASHBOARD ON THE STATE OF FOOD AND NUTRITION IN THE COUNTRY,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1750000000.0,0.3462,65.38
ERGP30208769,DEVELOPMENT OF DIGITAL MOBILE-BASED EXTENSION AND ADVISORY SYSTEM TO SUPPORT FARMERS PRODUCTIVITY,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,175699773.0,0.1148,88.52
ERGP30208770,DEVELOPMENT AND IMPLEMENTATION OF THE NATIONAL FARMERS SOIL HEALTH CARD SCHEME TO INCREASE PRODUCTIVITY,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,840000000.0,0.1952,80.48
ERGP30208774,"FOOD SECURITY CROPS VALUE CHAINS DEVELOPMENT PROGRAMS ON EXPORT CROPS
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1063646136.0,0.18,82.0
ERGP30208781,"EDUCATION PROMOTION OF HOME GARDEN, HOME ECONOMICS AND NUTRITION KNOWLEDGE TRANSFER AND PRACTICE AT THE STATE AND LOCAL GOVERNMENTS",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,476742384.0,0.1153,88.47
ERGP30208782,DEVELOPMENT AND ESTABLISHMENT OF NATIONAL AGRICULTURAL DATABASE CENTRE FOR PRODUCTIVITY,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,222736375.0,0.2356,76.44
ERGP30208785,DEVELOPMENT OF FRAMEWORK AND CONDUCT OF TECHNOLOGY / ICT ENABLED FARMS AND FARMERS ENUMERATION AND MAPPING,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,840000000.0,0.2631,73.69
ERGP30208786,"CAPACITY BUILDING ON PROJECTS MONITORING EVALUATION, ACCOUNTABILITY AND LEARNING FOR EFFICIENCY AND HIGH PERFORMANCE FOR FOOD AND NUTRITION",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,282936375.0,0.2171,78.29
ERGP30208793,DEVELOPMENT OF A NATIONAL AGRICULTURAL MECHANISATION ENTERPRISE DEVELOPMENT SCHEME FOR YOUTH AGRIPRENEURS TOWARDS INCREASED,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,350000000.0,0.2057,79.43
ERGP30208795,DEVELOPMENT OF ICT TOOLS FOR AGRICULTURE PRODUCTIVITY THROUGH YOUTH HACKATHON FOR CLIMATE SMART TECHNOLOGY,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70397523.0,0.1697,83.03
ERGP30208799,DEVELOPMENT AND IMPLEMENTATION OF STRATEGIC COMMUNICATION TO PROMOTE AGRICULTURE AND FOOD SECURITY VALUE CHAINS DEVELOPMENT AND KNOWLEDGE,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,505759062.0,0.2081,79.19
ERGP30208807,PROVISION OF INFRASTRUCTURE FOR INTERNATIONAL PUBLIC SECTOR ACCOUNTING STANDARD (IPSAS) & CAPACITY BUILDING FOR ACCOUNTS AND BUDGET OFFICERS ON,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,514795390.0,0.299,70.1
ERGP30208810,FIELD AND PROTECTIVEGEARS FOR VISIT AND OPERATIONAL SUPERVISION OF AGRICULTURE AND FOOD SECURITY PROJECTS,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,420000000.0,0.2934,70.66
ERGP30231444,"EXTENSION SERVICES SUPPORT TO ALL THE AGRICULTURAL VALUE CHAINS
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,941605065.0,0.1922,80.78
ERGP30231450,PROMOTION OF CLIMATE SMART FOOD PRODUCTION PROGRAMME FOR YOUTH EMPOWERMENT,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,203588284.0,0.1832,81.68
ERGP30231454,"IMPLEMENTATION OF ECOWAS AGRO-ECOLOGY PROGRAMMES IN NIGERIA
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,350000000.0,0.4355,56.45
ERGP30231485,ESTABLISHMENT OF AGRICULTURE INNOVATION HUB IN THE MINISTRY AND STAKEHOLDERS ENGAGEMENT IN LINE WITH PRESIDENTIAL PRIORITIES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,140000000.0,0.257,74.3
ERGP30231488,PROMOTION AND DEVELOPMENT OF AGRICULTURAL VALUE CHAIN COOPERATIVES TO SCALE UP FOOD PRODUCTION AND ENSURE FOOD SECURITY FOR NIGERIA,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,765800000.0,0.3477,65.23
ERGP30231504,"ESTABLISHMENT OF COTTAGE AND SMALL SCALE AGRO PROCESSING INDUSTRIES IN SELECTED STATES FOR VALUE ADDITION, EMPLOYMENT GENERATION AND FOOD",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,231000000.0,0.1915,80.85
ERGP30231508,"DEVELOPMENT OF A COMPENDIUM OF AGRO-BASE EQUIPMENT MANUFACTURERS, FABRICATORS, AND AGRO PROCESSORS IN NIGERIA",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,175000000.0,0.4139,58.61
ERGP30231510,"ESTABLISHMENT OF THE AGRO-PRODUCE CONDITIONING CENTRES IN FARM CLUSTERS
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,140000000.0,0.1575,84.25
ERGP30231512,"PROMOTION OF LOCAL FABRICATION OF AGRO PROCESSING TOOLS, EQUIPMENT AND MACHINERY FOR PROMOTION OF AGRIBUSINESS",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.135,86.5
ERGP30231514,SUPPORT FOR AGRO PROCESSORS IN THE ACQUISITION OF EQUIPMENT FOR AGRICULTURAL VALUE CHAINS,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,231000000.0,0.1268,87.32
ERGP30231515,AGRIBUSINESS TRAINING FOR MSMES WOMEN AND YOUTHS TO BE CARRIED OUT ACROSS THE 3 GEO-POLITICAL ZONES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,126000000.0,0.3081,69.19
ERGP30231516,"UPGRADE OF MARKETS IN LOCAL COMMUNITIES IN SELECTED STATES.
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,350000000.0,0.1838,81.62
ERGP30231518,DEVELOPMENT OF COLD CHAIN FACILITIES TO SUPPORT FARMERS IN SOME SELECTED STATES ACROSS THE 3 GEOPOLITICAL ZONES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,182000000.0,0.3197,68.03
ERGP30231519,DEVELOPMENT AND CAPACITY BUILDING ON AGRICULTURAL PRODUCT IMPROVEMENT FOR VALUE ADDITION AND INCOME GENERATION,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,105000000.0,0.2319,76.81
ERGP30231520,COLLABORATION WITH DEVELOPMENT PARTNERS IN CAPACITY BUILDING FOR STANDARD OF EXPORTABLE CROP FOR ZERO REJECTION.,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,73606389.0,0.1696,83.04
ERGP30231562,"DEVELOPMENT AND IMPROVEMENT OF FMAFS CAREER IN AGRICULTURE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,69300000.0,0.2355,76.45
ERGP30231563,"PROFESSIONALIZATION OF THE HUMAN RESOURCES MANAGEMENT DEPARTMENT
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,47600000.0,0.1791,82.09
ERGP30231565,ELECTRIFICATION OF AGRO AND RURAL INDUSTRIAL COMMUNITIES IN 2 GEOPOLITICAL ZONES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,700000000.0,0.2947,70.53
ERGP30231570,RURAL NON-FARM EMPOWERMENT SUPPORT (PROMOTION OF MICRO SMALL MEDIUM ENTERPRISE -MSMEs) IN THE 6 GEO-POLITICAL ZONES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,708347736.0,0.3538,64.62
ERGP30231571,"STRENTHENING MOBILIZATION & AWARENESS CREATION , NEEDS ASSESMENT IN RURAL COMMUNITIES FOR IMPROVED AGRICULTURAL PRODUCTION",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,91801242.0,0.2482,75.18
ERGP30237810,CONSTRUCTION OF MALE AND FEMALE HOSTELS IN NABANJE FEDERAL COLLEGE OF AGRICULTURE AND TECHNOLOGY,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1400000000.0,0.2155,78.45
ERGP30237813,"CONSTRUCTION OF COMPUTER CENTRES
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,700000000.0,0.14,86.0
ERGP30237818,"CONSTRUCTION OF RESIDENT FOR RECTOR WITH FINISHING
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,560000000.0,0.1941,80.59
ERGP30237821,"CONSTRUCTION OF HOUSES FOR BURSER AND CHEIF LABRERIAN WITH FINISHING
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,595000000.0,0.1189,88.11
ERGP30237822,"CONSTRUCTION OF ADMINISTRATION BLOCK
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,700000000.0,0.2013,79.87
ERGP30237824,"CONSTRUCTION OF FENCING
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1400000000.0,0.1536,84.64
ERGP30237827,"CONSTRUCTION OF LABROTERIES
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1400000000.0,0.0824,91.76
ERGP30237830,"CONSTRUCTION OF LECTURE TREATERS
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1400000000.0,0.0014,99.86
ERGP30237832,"PUCHASE OF HILUX OPERATIONAL VEHICLES
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,595000000.0,0.0613,93.87
ERGP30237834,EMERGENCY CONSTRUCTION OF OFFA TO ALAYA ROAD WITH SOLAR STREETLIGHTS FOR AGRICULTURAL AND ECONOMIC IMPROVEMENTS OFFA KWARA STATE,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,402903681.0,0.2276,77.24
ERGP30237836,"SUPPLY OF AGRICULTURAL INPUTS FOR FARMERS IN ODO-OGUN KWARA STATE, GURUKU AND KUGBARU NASARAWA STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,489081529.0,0.2992,70.08
ERGP30237848,"CONSTRUCTION OF KARA LIVESTOCK MARKET, OKE MAIKA, ILEMONA KWARA STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,333076398.0,0.273,72.7
ERGP30237850,PROVISION OF SOLAR ENERGY SOURCE IN AGBOWA/IKOSI/EPE COMMUNITIES LAGOS STATE,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,700000000.0,0.3821,61.79
ERGP30237852,CONSTRUCTION OF RURAL FEEDER ROAD IN EPE AND AGBOWA COMMUNITIES LAGOS STATE,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,700000000.0,0.3481,65.19
ERGP30237855,"RENEWED HOPE INITIATIVE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,3500000000.0,0.2797,72.03
ERGP30237858,"CONSTRUCTION OF INTERNAL ROADS IN FEDERAL POLYTECHNIC, NYAK-SHENDAM, PLATEAU STATE (LOTS)",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1050000000.0,0.2738,72.62
ERGP30237860,"PROVISION OF SOLAR STREET LIGHT AT TUDUN WADA WARDS, GOMBE LGA
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,17500000.0,0.2124,78.76
ERGP30237865,"PROVISION OF SOLAR STREET AT TUNFURE, GOMBE LGA
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,17500000.0,0.278,72.2
ERGP30237870,REHABILITATION OF EMCCO FIELD AND OTHER SOCIAL INFRASTRUCTURE IN OKENGWEN,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.3293,67.07
ERGP30237873,SUPPLY OF GRAINS AND CONSTRUCTION OF SOLAR STREETLIGHTS TO AKKO AND FUNTUA FEDERAL CONSTITUENCIES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,910000000.0,0.1994,80.06
ERGP30237877,"SUPPLY OF FERTILIZER TO AKKO AND FUNTUA FEDERAL CONSTITUENCIES
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,700000000.0,0.2703,72.97
ERGP30237879,"SUPPLY OF WATER PUMPING MACHING IN SURU/BAGUDO- KEBBI STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.2505,74.95
ERGP30237884,"SUPPLY OF FOOD ITEMS TO SELECTED INDIGENTS IN AKOKO NORTH FEDERAL CONSTITUENCY, ONDO STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,350000000.0,0.2626,73.74
ERGP30237889,"CONSTRUCTION OF SURFACE DRESSING AT KADARKO PRIMARY SCHOOL TO WARAM, PLATEAU STATE (RURAL DEVELOPMENT AGENCY)",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,172900000.0,0.2255,77.45
ERGP30237891,"PROVISION AND SUPPLY OF GRAINS IN SABON GARIN NARABA, TORO LGA, BACHI STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.2361,76.39
ERGP30237892,"SUPPLY AND INSTALLATION OF SOLAR STREET LIGHTS IN SABON GARIN NARABA, TORO LGA, BACHI STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.1588,84.12
ERGP30237900,"PROVISION OF SOLAR STREET LIGHTS TO COMMUNITIES IN NUNKU AND UNGWAN MALLAM IN AKWANGA LGA, NASARAWA STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,140000000.0,0.2169,78.31
ERGP30237904,"INSTALLATION OF SOLAR STREET LIGHTS IN AKPAMKA/BIASE FEDERAL CONSTITUENCY, CROSS RIVER STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,280000000.0,0.1872,81.28
ERGP30237907,CONSTRUCTION OF ROAD DRAINAGES AND SOLAR STREET LIGHT FROM FISH SELLERSÃ¢â¬â¢ MARKET (YAN KIFI) TO THE END OF THE STREET AND FROM,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,525000000.0,0.0869,91.31
ERGP30237911,"PROVISION OF SOLAR STREETLIGHTS IN KOFAR MANUSA IN KATSINA STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,140000000.0,0.1929,80.71
ERGP30237915,"SUPPLIES OF GRAINS TO SELECTED STATES IN THE FEDERATION
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,3150000000.0,0.1935,80.65
ERGP30237921,SUPPLY AND DISTRIBUTION OF 70 HORSE POWER TRACTORS LIGHT DUTY TRACTORS IMPLEMENT AND LIGHT DUTY TRACTOR TRUCKS TO ENHANCE AGRICULTURAL,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1470000000.0,0.0901,90.99
ERGP30237924,CONSTRUCTION OF SURFACE DRESSING AT BIYAK TO KADARKO PRIMARY SCHOOL PLATEAU STATE (DEPT.OF RURAL DEVELOPMENT,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,700000000.0,0.1698,83.02
ERGP30237931,"CONSTRUCTION OF RURAL ACCESS ROAD MAJE-KAUDU ROAD IN BAGUDU/SURU FEDERAL CONSTITUENCY, KEBBI STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,700000000.0,0.2969,70.31
ERGP30237942,"SUPPLY OF FOOD ITEMS TO CURB FOOD INSECURITY IN AKPABUYO LOCAL GOVERNMENT, CROSS RIVER STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,210000000.0,0.2671,73.29
ERGP30237948,"SUPPLY OF FOOD ITEMS TO CURB FOOD INSECURITY IN CALABAR SOUTH LGA, CROSS RIVER STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,210000000.0,0.0865,91.35
ERGP30237956,SUPPLY OF FOOD ITEMS TO WOMEN AND YOUTHS IN AKOKO NORTH EAST/ AKOKO NORTH WEST FEDERAL CONSTITUENCY.,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.2156,78.44
ERGP30237961,"TRAINING AND STRATEGIC EMPOWERMENT OF FARMERS IN AKOKO NORTH EAST/ AKOKO NORTH WEST FEDERAL CONSTITUENCY, ONDO STATE.",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.4093,59.07
ERGP30237966,"SUPPLY OF FERTILIZER TO FARMERS IN KEBBI STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,280000000.0,0.1964,80.36
ERGP30237974,"SUPPLY AND INSTALLATION OF SOLAR STREET LIGHTS IN KEBBI STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,210000000.0,0.1703,82.97
ERGP30237978,"SUPPLY OF 3Ã¢â¬â¢Ã¢â¬â¢ INCHES PUMPING MACHINE TO KEBBI STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,140000000.0,0.1855,81.45
ERGP30237980,"SUPPLY OF HERBICIDES AND KNAPSACK SPRAYERS TO KEBBI STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.1896,81.04
ERGP30237981,"SUPPLY OF GRAINS TO BAGUDO L.G.A, KEBBI STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.191,80.9
ERGP30237984,"SUPPLY OF GRAINS TO SURU L.G.A, KEBBI STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.2191,78.09
ERGP30237986,"SUPPLY OF TRACTORS AND IMPLEMENTS TO FARMERS IN KEBBI STATE,
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,210000000.0,0.2289,77.11
ERGP30237989,"SUPPLY OF IMPROVED SEEDLINGS TO FARMERS IN KEBBI STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.1935,80.65
ERGP30237992,"SUPPLY OF GRAINS TO BAGUDO/SURU/ZURU/ FAKAI/SAKABA, DANKO WASAGU FEDERAL CONSTITUENCY KEBBI STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.3085,69.15
ERGP30237997,SUPPLY OF GRAINS TO ARGUNGU/AUGIE /AREWA/DANDI FEDERAL CONSTITUENCY KEBBI STATE,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.3275,67.25
ERGP30238000,"SUPPLY OF GRAINS TO BIRNIN KEBBI, KALGO/ BUNZA/ ALIERO/GWANDU/JEGA FEDERAL CONSTITUENCY KEBBI STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.2606,73.94
ERGP30238001,"SUPPLY OF GRAINS TO KOKO-BESSE/ MAIYAMA YAURI, NGASKI, SHANGA FEDERAL CONSTITUENCY KEBBI STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.2934,70.66
ERGP30238006,"SUPPLY OF FERTILIZERS TO FARMERS IN JEMA'A AND SANGA LGA KADUNA STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,21000000.0,0.2479,75.21
ERGP30238007,"SUPPLY OF AGRICULTURAL INPUTS TO FARMERS IN MAKARFI/KUDAN FEDERAL CONSTITUENCY, KADUNA STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,21000000.0,0.335,66.5
ERGP30238058,CONSTRUCTION OF TUBE-WELLS AND SUPPLY OF WATER PUMPS TO KANKIA/KUSADA /INGAWA FEDERAL CONSTITUENCY KATSINA STATE,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,21000000.0,0.2317,76.83
ERGP30238060,TRAINING AND EMPOWERMENT FOR YOUTHS IN AGRICULTURE IN EDE NORTH/EDE SOUTH/ EGBEDORE/EJIGBO FEDERAL CONSTITUENCY OF OSUN STATE,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,21000000.0,0.331,66.9
