code,mda_code,agency,ergp_line_item,status,amount,mandate_alignment,alignment,reason,predicted_class,prob_outside,prob_within,flag_for_review
ERGP29114994,111001001,STATE HOUSE - HQTRS,"PROVISION OF ELECTRONIC DOCUMENT MANAGEMENT
SYSTEM (EDMS).",ONGOING,35179969.00,Within MDA Mandate,YES,Assessment pending,1,0.000448005,0.99955195,FALSE
ERGP29178543,111001001,STATE HOUSE - HQTRS,"REPLACEMENT OF VILLA TELECOMMUNICATIONS
INFRASTRUCTURE",ONGOING,51261926.00,Within MDA Mandate,YES,Assessment pending,1,0.000422857,0.9995771,FALSE
ERGP29223754,111001001,STATE HOUSE - HQTRS,"PROCUREMENT AND INSTALLATION OF AUDITING SOFTWARE TOOLS - ( AUDIT MANAGEMENT SOLUTION) HAREWARE AND
SOFTWARE INCLUSIVE OF TRAINING.",ONGOING,26912511.00,Outside MDA Mandate,NO,Assessment pending,0,0.9949254,0.005074654,TRUE
ERGP29225323,111001001,STATE HOUSE - HQTRS,PURCHASE OF PMS & ECM EQUIPMENT AND ACCESSORIES,ONGOING,256309629.00,Within MDA Mandate,YES,Assessment pending,1,0.000755765,0.9992442,FALSE
ERGP30102445,111001001,STATE HOUSE - HQTRS,UPGRADE OF STATE HOUSE LIBRARY,ONGOING,9028123.00,Within MDA Mandate,YES,Assessment pending,1,0.000399913,0.9996001,FALSE
ERGP30114992,111001001,STATE HOUSE - HQTRS,DIGITAL MEDICAL REFERENCES FOR THE STATE HOUSE LIBRARY,ONGOING,3219762.00,Within MDA Mandate,YES,Assessment pending,1,0.00039539,0.99960464,FALSE
ERGP6101477,111001001,STATE HOUSE - HQTRS,"REHABILITATION OF ANIMAL ENCLOSURE/PROCUREMENT
OF VET LAB EQUIPMENT",ONGOING,21850216.00,Outside MDA Mandate,NO,Assessment pending,0,0.99382436,0.006175693,TRUE
ERGP6114996,111001001,STATE HOUSE - HQTRS,"CONVERSION/UPGRADE OF VILLA RANCH AND
CONSTRUCTION OF WILDLIFE CONSERVATION CAPTURE",ONGOING,38466135.00,Within MDA Mandate,YES,Assessment pending,1,0.00056151,0.99943846,FALSE
ERGP6114997,111001001,STATE HOUSE - HQTRS,"PURCHASE OF PLANT NURSERY EQUIPMENT FOR PRODUCTION OF LOCAL FLOWERS FOR ROUTINE FLORAL ARRANGEMENT, IRRIGATION AND UPGRADE OF HELIPAD
GRASSFIELD",ONGOING,26912671.00,Within MDA Mandate,YES,Assessment pending,1,0.000480638,0.99951935,FALSE
ERGP7101471,111001001,STATE HOUSE - HQTRS,"SYSTEMATIC COLLECTION AND ASSESSMENT OF DATA ABOUT PROJECTS AND PROGRAMMES TO AID
MANAGEMENT TO MAKE DECISIONS.",ONGOING,17614879.00,Within MDA Mandate,YES,Assessment pending,1,0.000717275,0.9992828,FALSE
ERGP7102420,111001001,STATE HOUSE - HQTRS,"PURCHASE OF VARIOUS OFFICE EQUIPMENT FOR THE ADMIN, FINANCE & ACCOUNTS WORKS, ICT,
PROCUREMENT, PRS AND AUDIT DEPARTMENTS",ONGOING,39255404.00,Within MDA Mandate,YES,Assessment pending,1,0.000399335,0.9996007,FALSE
ERGP7103741,111001001,STATE HOUSE - HQTRS,"PURCHASE OF TYRES FOR BULLET PROOF VEHICLES, PLAIN CARS, CCU VEHICLES, PLATFORM TRUCKS, JEEPS, AMBULANCES AND OTHER UTILITY AND OPERATIONAL VEHICLES.",ONGOING,115493119.00,Within MDA Mandate,YES,Assessment pending,1,0.000464802,0.9995352,FALSE
ERGP7201299,111001001,STATE HOUSE - HQTRS,PURCHASE OF STATE HOUSE OPERATIONAL VEHICLES,ONGOING,2563096286.00,Within MDA Mandate,YES,Assessment pending,1,0.000385076,0.99961495,FALSE
ERGP7201300,111001001,STATE HOUSE - HQTRS,REPLACEMENT OF SUV VEHICLES,ONGOING,768928886.00,Within MDA Mandate,YES,Assessment pending,1,0.000469662,0.9995303,FALSE
ERGP25202182,111001002,STATE HOUSE OPERATIONS - PRESIDENT,"MAINTENANCE OF MEDICAL EQUIPMENT AT THE VIP WING
OF STATE HOUSE MEDICAL CENTRE",ONGOING,1342573.00,Within MDA Mandate,YES,Assessment pending,1,0.000529014,0.999471,FALSE
ERGP27201257,111001002,STATE HOUSE OPERATIONS - PRESIDENT,"RENOVATION OF PRESIDENT QUARTERS AT THE STATE HOUSE, PRESIDENTIAL VILLA, ABUJA",ONGOING,4475244.00,Within MDA Mandate,YES,Assessment pending,1,0.000424993,0.99957496,FALSE
ERGP27202188,111001002,STATE HOUSE OPERATIONS - PRESIDENT,MAINTENANCE OF BUILDING/CIVIL INFRASTRUCTURES/MECHANICAL/ELECTRICAL FITTINGS/CLEANING/HORTICULTURAL SERVICES,ONGOING,1430518.00,Within MDA Mandate,YES,Assessment pending,1,0.000468741,0.99953127,FALSE
ERGP27223783,111001002,STATE HOUSE OPERATIONS - PRESIDENT,"PROVISION OF ACCOMMODATION AND CO-LOCATED GUEST HOUSES/FURNISHING FOR PRESIDENTIAL CLOSE AIDES/GUEST AT THE SPECIAL DEVELOPMENT LAYOUT
ASOKORO, ABUJA",ONGOING,384870961.00,Within MDA Mandate,YES,Assessment pending,1,0.000522216,0.9994778,FALSE
ERGP27223837,111001002,STATE HOUSE OPERATIONS - PRESIDENT,"RENOVATION OF SECURITY QUARTERS, STATE HOUSE AUDITORIUM, GYMNASIUM AND PRESIDENTIAL AIDES'S QUARTERS ALONG IBRAHIM TAIWO STREET, ASOKORO
ABUJA ( 8 BUILDINGS)",ONGOING,34329014.00,Within MDA Mandate,YES,Assessment pending,1,0.000422036,0.99957794,FALSE
ERGP27223843,111001002,STATE HOUSE OPERATIONS - PRESIDENT,"RENOVATION OF PRESCORT BARRACKS AT MPAPE STATE HOUSE OFFICERS MESS BUILDING AND SIGNAL OFFICE ASOKORO, ABUJA",ONGOING,35801950.00,Within MDA Mandate,YES,Assessment pending,1,0.000453327,0.9995466,FALSE
ERGP7223787,111001002,STATE HOUSE OPERATIONS - PRESIDENT,"PROCUREMENT OF OPERATIONAL VEHICLES AT THE PRESIDENTIAL CONFERENCE CAR UNIT (CCU) FLEET, ABUJA",ONGOING,89504875.00,Within MDA Mandate,YES,Assessment pending,1,0.000406563,0.99959344,FALSE
ERGP7223791,111001002,STATE HOUSE OPERATIONS - PRESIDENT,"MONITORING AND EVALUTION OF PROJECTS AND DEVELOPMENT AT THE LOCAL GOVERNMENT LEVEL AND MANAGEMENT OF ALL FORMS OF INTERVENTION AT EACH
OF THE SIX (6) GEO-POLITICAL ZONES",ONGOING,134257312.00,Outside MDA Mandate,NO,Assessment pending,0,0.99950516,0.000494821,TRUE
ERGP7223831,111001002,STATE HOUSE OPERATIONS - PRESIDENT,"PROCUREMENT OF SUVS FOR MR. PRESIDENT AND VICE
PRESIDENT",ONGOING,89504875.00,Within MDA Mandate,YES,Assessment pending,1,0.000426753,0.9995733,FALSE
ERGP7223850,111001002,STATE HOUSE OPERATIONS - PRESIDENT,PURCHASE OF MEDIA EQUIPMENT FOR THE PRESIDENTIAL MEDIA AND PUBLICITY UNIT.,ONGOING,778692.00,Within MDA Mandate,YES,Assessment pending,1,0.000427598,0.99957246,FALSE
ERGP7223856,111001002,STATE HOUSE OPERATIONS - PRESIDENT,PRESIDENTIAL DIGITAL MEDIA ARCHIVE SET UP,ONGOING,895049.00,Within MDA Mandate,YES,Assessment pending,1,0.00040566,0.9995944,FALSE
ERGP27195096,111001003,STATE HOUSE OPERATIONS - VICE PRESIDENT,"NATIONAL CENTRE FOR THE COORDINATION OF EARLY
WARNING AND RESPONSE MECHANISM",ONGOING,79833217.00,Outside MDA Mandate,NO,Assessment pending,0,0.999708,0.000291927,TRUE
ERGP27201258,111001003,STATE HOUSE OPERATIONS - VICE PRESIDENT,"RENOVATION OF VICE PRESIDENT QUARTERS AT STATE
HOUSE, PRESIDENTIAL VILLA ABUJA",ONGOING,326802645.00,Within MDA Mandate,YES,Assessment pending,1,0.000431024,0.999569,FALSE
ERGP27223823,111001003,STATE HOUSE OPERATIONS - VICE PRESIDENT,"RENOVATION OF VICE PRESIDENT GUESTS HOUSE4
ASOKORO, ABUJA",ONGOING,208873576.00,Within MDA Mandate,YES,Assessment pending,1,0.000415519,0.9995845,FALSE
ERGP29223819,111001003,STATE HOUSE OPERATIONS - VICE PRESIDENT,"PURCHASE OF PRINTERS, PHOTOCOPIES AND MEDIA
EQUIPMENT",ONGOING,25875767.00,Within MDA Mandate,YES,Assessment pending,1,0.000432523,0.99956745,FALSE
ERGP23223736,111001004,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,DEVELOPMENT OF ARCHIVING SYSTEM,ONGOING,85155000.00,Within MDA Mandate,YES,Assessment pending,1,0.00049724,0.9995028,FALSE
ERGP7103864,111001004,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,PURCHASE OF SHREDDING MACHINES,ONGOING,2800000.00,Within MDA Mandate,YES,Assessment pending,1,0.000697678,0.99930227,FALSE
ERGP7201346,111001004,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,PURCHASE OF MOTOR VEHICLES,,199500000.00,Within MDA Mandate,YES,Assessment pending,1,0.000447655,0.9995523,FALSE
ERGP7223722,111001004,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,"PURCHASE OF 2 NOS PHOTOCOPYING MACHINES (XEROX WORK CENTRE C7025 OR C7030) AND 4 NOS PRINTER
PHOTOCOPIERS",ONGOING,10500000.00,Within MDA Mandate,YES,Assessment pending,1,0.000429362,0.99957067,FALSE
ERGP7223728,111001004,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,"ANNUAL RENEWAL/UPGRADE OF COMPUTER SOFTWARE
LICENCE",ONGOING,31500000.00,Within MDA Mandate,YES,Assessment pending,1,0.00053572,0.99946433,FALSE
ERGP7223732,111001004,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,PURCHASE AND SERVICING OF IT EQUIPMENT,ONGOING,16150859.00,Within MDA Mandate,YES,Assessment pending,1,0.000427052,0.99957293,FALSE
ERGP7223739,111001004,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,PURCHASE OF ADDITIONAL 4 NOS SCANNERS AND 4 NOS DESKTOPS COMPTERS FOR THE CHIEF OF STAFF REGISTRY,ONGOING,14000000.00,Within MDA Mandate,YES,Assessment pending,1,0.000433702,0.99956626,FALSE
ERGP7102092,111001005,OFFICE OF THE CHIEF SECURITY OFFICER TO THE PRESIDENT,PURCHASE OF SECURITY AND OPERATIONAL VEHICLES,ONGOING,125743257.00,Within MDA Mandate,YES,Assessment pending,1,0.000432251,0.9995677,FALSE
ERGP7102127,111001005,OFFICE OF THE CHIEF SECURITY OFFICER TO THE PRESIDENT,"PROCUREMENT OF SECURITY NETWORK ACCESS (GLASS STILE, CCTV, ACCESS CONTROL, SPEEDSTILES AND FULL
HEIGHT TURNSTILE)",ONGOING,33007605.00,Within MDA Mandate,YES,Assessment pending,1,0.000431584,0.9995684,FALSE
ERGP25223983,111001006,STATE HOUSE MEDICAL CENTRE,ANNUAL ROUTINE MAINTENANCE OF MEDICAL EQUIPMENTS AT SHMC AND VIP WING OF THE STATE HOUSE CLINIC,ONGOING,61574553.00,Within MDA Mandate,YES,Assessment pending,1,0.000403193,0.9995968,FALSE
ERGP25223993,111001006,STATE HOUSE MEDICAL CENTRE,"REMODELING AND UPGRADING OF BUILDINGS AND
INFRASTRUCTURE AT THE SHMC",ONGOING,9346866.00,Within MDA Mandate,YES,Assessment pending,1,0.000400747,0.9995993,FALSE
ERGP25224001,111001006,STATE HOUSE MEDICAL CENTRE,"PROCUREMENT OF MEDICAL EQUIPMENTS FOR SHMC AND
VIP WING",ONGOING,213418001.00,Within MDA Mandate,YES,Assessment pending,1,0.000414164,0.9995858,FALSE
ERGP27102506,111001006,STATE HOUSE MEDICAL CENTRE,"CONSTRUCTION OF 2 BLOCKS OF 24 UNITS 3 BEDROOM
FLATS AT THE SHMC.",ONGOING,23193515.00,Within MDA Mandate,YES,Assessment pending,1,0.000374022,0.9996259,FALSE
ERGP27201361,111001006,STATE HOUSE MEDICAL CENTRE,"CONSTRUCTION OF CALL DUTY DOCTORS QUARTERS FOR
THE STATE HOUSE MEDICAL CENTRE",ONGOING,6713383.00,Within MDA Mandate,YES,Assessment pending,1,0.000408747,0.9995913,FALSE
ERGP27201367,111001006,STATE HOUSE MEDICAL CENTRE,FACILITY MANAGEMENT SERVICES AT STATE HOUSE MEDICAL CENTRE,ONGOING,23587563.00,Within MDA Mandate,YES,Assessment pending,1,0.000392164,0.99960786,FALSE
ERGP27224006,111001006,STATE HOUSE MEDICAL CENTRE,PROCUREMENT/INSTALLATION OF I NO LIFT AT THE DENTAL WING OF THE SHMC,ONGOING,7983483.00,Within MDA Mandate,YES,Assessment pending,1,0.000399252,0.9996007,FALSE
ERGP27101630,111001007,STATE HOUSE LAGOS LIAISON OFFICE,"ROUTINE MAINTENANCE OF STATE HOUSE LAGOS FACILITIES (DODAN BARRACKS, VP RESIDENCE/GUEST HOUSES AT IKOYI, ETC)",ONGOING,10305428.00,Within MDA Mandate,YES,Assessment pending,1,0.000391664,0.99960834,FALSE
ERGP27224014,111001007,STATE HOUSE LAGOS LIAISON OFFICE,"PROVISION OF FACILITY MANAGEMENT SERVICES AT THE
PRESIDENTIAL FACILITIESN LAGOS",ONGOING,5004493.00,Within MDA Mandate,YES,Assessment pending,1,0.000381365,0.99961865,FALSE
ERGP27225311,111001007,STATE HOUSE LAGOS LIAISON OFFICE,"COMPLETION OF RENOVATION AND FURNISHING OF STATE
HOUSE ANNEX (DODAN BARRACKS) LAGOS",ONGOING,98072209.00,Within MDA Mandate,YES,Assessment pending,1,0.000389437,0.9996106,FALSE
ERGP29224020,111001007,STATE HOUSE LAGOS LIAISON OFFICE,UPGRADE OF ACCESS CONTROL (LAN) HARDWARE IN STATE HOUSE (ID CARD UNIT),ONGOING,3138311.00,Within MDA Mandate,YES,Assessment pending,1,0.000403214,0.9995968,FALSE
ERGP10201274,111006001,"NIPSS, KURU",SOLAR POWERED UPS & STREET LIGHTING,ONGOING,70000000.00,Outside MDA Mandate,NO,Assessment pending,0,0.9998355,0.000164467,TRUE
ERGP10201277,111006001,"NIPSS, KURU",REPLACEMENT OF 43 YEAR OLD UNDERGROUND ELECTRICITY CABLES - ABOUT 10KMS,ONGOING,35000000.00,Outside MDA Mandate,NO,Assessment pending,0,0.9998098,0.000190187,TRUE
ERGP10225309,111006001,"NIPSS, KURU",PURCHASE OF GENERATING SET,ONGOING,44800000.00,Within MDA Mandate,YES,Assessment pending,1,0.000423266,0.99957675,FALSE
ERGP12225302,111006001,"NIPSS, KURU",MAINTENANCE OF ROADS AND DRAINAGES,ONGOING,14000000.00,Outside MDA Mandate,NO,Assessment pending,0,0.99982494,0.000175146,TRUE
ERGP23201261,111006001,"NIPSS, KURU",RENOVATION OF 40 UNITS OF PARTICIPANTS QRTS,ONGOING,31500000.00,Within MDA Mandate,YES,Assessment pending,1,0.000433385,0.9995666,FALSE
ERGP23201267,111006001,"NIPSS, KURU",REHABILITATION OF RESEARCH FELLOWS QTRS,ONGOING,31500000.00,Within MDA Mandate,YES,Assessment pending,1,0.000427712,0.99957234,FALSE
ERGP23225286,111006001,"NIPSS, KURU",REHABILITATION OF PARTICIPANTS DINNING HALL,ONGOING,14000000.00,Within MDA Mandate,YES,Assessment pending,1,0.000446944,0.999553,FALSE
ERGP23225295,111006001,"NIPSS, KURU",MAINTENANCE OF ACOUSTIC ROOFING - AUDITORIUM,ONGOING,21605403.00,Within MDA Mandate,YES,Assessment pending,1,0.008571656,0.9914283,FALSE
ERGP23234834,111006001,"NIPSS, KURU","EMPOWERING OF WOMEN & YOUTH IN ORLU-ORSU-ORU
EAST FEDERAL CONSTITUENCY IMO STATE.",ONGOING,143226237.00,Outside MDA Mandate,NO,Assessment pending,0,0.99983764,0.000162368,TRUE
ERGP23234835,111006001,"NIPSS, KURU","SENSITIZATION PROGRAMME AGAINST UNDER-AGE GAMBLING AMONG YOUTHS IN ABUJA MUNICIPAL AREA
COUNCIL (AMAC) FCT, ABUJA.",ONGOING,33844256.00,Outside MDA Mandate,NO,Assessment pending,0,0.9998248,0.000175236,TRUE
ERGP28201278,111006001,"NIPSS, KURU",CONSTRUTION OF BOREHOLES/ RESERVOIRS - 6 NOS,ONGOING,10500000.00,Outside MDA Mandate,NO,Assessment pending,0,0.99978274,0.000217259,TRUE
ERGP29225316,111006001,"NIPSS, KURU",DIGITIZATION OF WHOLE SYSTEM,ONGOING,66500000.00,Within MDA Mandate,YES,Assessment pending,1,0.015262269,0.9847378,FALSE
ERGP30201264,111006001,"NIPSS, KURU","RESEARCH ON INDUSTRIALIZATION, DIGITAL ECONOMY AND JOB CREATION COVERING 774 LGA'S (N1.68M/LGA)",ONGOING,31500000.00,Within MDA Mandate,YES,Assessment pending,1,0.000618816,0.9993812,FALSE
ERGP30201275,111006001,"NIPSS, KURU",RESEARCH INTO SOCIO ECONOMIC PROBLEMS,ONGOING,35000000.00,Within MDA Mandate,YES,Assessment pending,1,0.000468672,0.9995314,FALSE
ERGP8201271,111006001,"NIPSS, KURU",EQUIPING OF MEDIA HOUSE,ONGOING,14000000.00,Within MDA Mandate,YES,Assessment pending,1,0.000421173,0.9995788,FALSE
ERGP1102132,111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),"MONITORING, EVALUATION AND OTHER POST
PRIVATISATION EXPENSES",ONGOING,55363000.00,Within MDA Mandate,YES,Assessment pending,1,0.000426277,0.99957377,FALSE
ERGP1102191,111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),IT INFRASTRUCTURE AND ASSOCIATED EQUIPMENT,ONGOING,98175000.00,Within MDA Mandate,YES,Assessment pending,1,0.000474392,0.99952567,FALSE
ERGP1102209,111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),PURCHASE OF OFFICE FURNITURE AND FITTINGS FOR THE BUREAU'S WING B BUILDING,ONGOING,14907375.00,Within MDA Mandate,YES,Assessment pending,1,0.000434809,0.9995652,FALSE
ERGP1205869,111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),PURCHASE OF LAP TOP AND DESKTOP COMPUTERS FOR BPE STAFF OFFICIAL USE,ONGOING,110726000.00,Within MDA Mandate,YES,Assessment pending,1,0.000417534,0.99958247,FALSE
ERGP1205905,111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),"REMODELING OF SECURITY HOUSE AND BPE MAIN
ENTRANCE DOOR",ONGOING,14000000.00,Within MDA Mandate,YES,Assessment pending,1,0.000448853,0.9995511,FALSE
ERGP16234836,111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),"""ACQUISITION OF BUREAU OF PUBLIC PROCUREMENT
HEADQUARTER OFFICE IN ABUJA """,ONGOING,14000000000.00,Outside MDA Mandate,NO,Assessment pending,0,0.9982216,0.001778374,TRUE
ERGP7157033,111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),"PURCHASE OF TOYOTA COASTER 30 SEAT FOR BPE OFFICIAL
USE",ONGOING,154662453.00,Within MDA Mandate,YES,Assessment pending,1,0.000398615,0.9996014,FALSE
ERGP15225469,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),"PURCHASE OF OFFICE FURNITURE & FITTINGS-OFFICE TABLES,CHAIRS,VISITORS CHAIRS,AIR CONDITIONERS FOR NEW ZONAL OFFICES -EKITI,ANAMBRA&KATSINA",ONGOING,350000000.00,Within MDA Mandate,YES,Assessment pending,1,0.000460667,0.9995394,FALSE
ERGP15225491,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),"PURCHASE OF HP & DESKJET COULORED, BLACK & WHITE
PRINTERS",ONGOING,17500000.00,Within MDA Mandate,YES,Assessment pending,1,0.000437881,0.9995621,FALSE
ERGP15225497,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),"PURCHASE OF SHARP, PANASONIC, RICOH & RANK ZEROX PHOTOCOPYING MACHINES FOR NEW ZONAL OFFICES",ONGOING,70000000.00,Within MDA Mandate,YES,Assessment pending,1,0.000488898,0.9995111,FALSE
ERGP15225510,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),"PURCHASE OF HP & INDURSTRAL SCANNERS FOR NEW
ZONAL OFFICES",ONGOING,17500000.00,Within MDA Mandate,YES,Assessment pending,1,0.000444381,0.99955565,FALSE
ERGP15225516,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),ADDITIONAL INFRASTRUCTURE DEVELOPMENT OF 10 NEW HECTARES FOR EFCC ACADEMY AT AIRPORT ROAD ABUJA,ONGOING,350000000.00,Within MDA Mandate,YES,Assessment pending,1,0.000573553,0.9994265,FALSE
ERGP15225539,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),"ACQUISITION & RENEWAL OF VARIOUS ICT SOFTWARE &
FORENSIC EQUIPMENTS LICENSES",ONGOING,210000000.00,Within MDA Mandate,YES,Assessment pending,1,0.000440049,0.99955994,FALSE
ERGP15226105,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),"ACQUISITION OF ICT HARDWARES, FORENSIC HARDWARES
& OTHER CAPITAL PROJECTS",ONGOING,277517033.00,Within MDA Mandate,YES,Assessment pending,1,0.000424525,0.99957544,FALSE
ERGP15226503,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),"PURCHASE OF DELL & HP DESKTOP COMPUTERS & LAPTOPS
FOR NEW ZONAL OFFICES",ONGOING,105000000.00,Within MDA Mandate,YES,Assessment pending,1,0.000451531,0.9995485,FALSE
ERGP15226519,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),"RENEWAL OF CONSULTANCY FOR NEW ACADEMY, ABUJA
(ADDITITIONAL 10 HECTARES & MAIN BUILDING)",ONGOING,427000000.00,Within MDA Mandate,YES,Assessment pending,1,0.000458508,0.9995415,FALSE
ERGP15234837,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),DESIGN AND CONSTRUCTION OF LAGOS OFFICE,ONGOING,4200000000.00,Within MDA Mandate,YES,Assessment pending,1,0.000521471,0.9994785,FALSE
ERGP15234838,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),"""PHASE 2, MECHANICAL/ ELECTRICAL WORKS FOR NEW
ACADEMY, ABUJA """,ONGOING,3500000000.00,Within MDA Mandate,YES,Assessment pending,1,0.00071983,0.99928015,FALSE
ERGP15234839,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),"""OFFICE BUILDINGS FOR 3 NEW ZONAL DIRECTORATES """,ONGOING,1400000000.00,Within MDA Mandate,YES,Assessment pending,1,0.000668771,0.99933124,FALSE
ERGP15234840,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),"""PURCHASE OF MOTOR VEHICLES (20 HILUXES, 20 BUSES AND CARS FOR MANAGEMENT STAFF) """,ONGOING,1750000000.00,Within MDA Mandate,YES,Assessment pending,1,0.000645237,0.9993548,FALSE
ERGP15234841,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),"""ACQUISITION OF LAND GOMBE, KADUNA, MARKUDI,
BENIN, UYO AND IBADAN ZONAL DIRECTORATES """,ONGOING,2100000000.00,Within MDA Mandate,YES,Assessment pending,1,0.000985625,0.9990144,FALSE
ERGP15234842,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),"""PURCHASE OF OFFICE FURNTURE AND FITTINGS FOR 3 NEW
AND 14 EXISTING ZONAL DIRECTORATES """,ONGOING,350000000.00,Within MDA Mandate,YES,Assessment pending,1,0.000669997,0.99933004,FALSE
