mda_code,mda_name,mandate_description
515050001,21. BASIC HEALTH CARE PROVISION FUND,"The Basic Health Care Provision Fund (BHCPF) was established under Section 11 of the National Health Act, 2014, as the principal funding vehicle for providing a Basic Minimum Package of Health Services to all Nigerians. The Fund serves as a catalytic financing mechanism designed to improve access to primary healthcare services, increase fiscal space for health, and strengthen Nigeria's national health system, particularly at the primary healthcare level.

The BHCPF is funded through multiple sources including: an annual grant from the Federal Government of Nigeria of not less than one percent (1%) of the Consolidated Revenue Fund; grants from international donor partners; and funds from the private sector and other sources. This funding structure was designed to ensure sustainable financing for healthcare delivery across Nigeria.

The Fund operates through four designated Gateways: The National Primary Health Care Development Agency (NPHCDA) Gateway, which receives 45% of the Fund for strengthening primary healthcare facilities, providing essential drugs, vaccines, consumables, equipment maintenance, and human resource support; The National Health Insurance Authority (NHIA) Gateway, which helps vulnerable and poor Nigerians access health insurance for the Basic Minimum Package of Health Services; The National Emergency Medical Treatment Committee (NEMTC) Gateway, which provides emergency ambulance services and urgent medical treatment; and The Nigeria Centre for Disease Control (NCDC) Gateway, which receives 2.5% for public health emergencies and outbreak response.

The BHCPF aims to achieve specific targets including: establishing at least 17,600 fully functional public or private primary healthcare facilities nationwide, with at least one in every political ward by 2027; ensuring at least one fully functional secondary healthcare facility per Local Government Area benefiting from the Fund in all states by 2027. The Fund specifically supports vulnerable groups including children under five years, the elderly, persons with disabilities, pregnant women, refugees, victims of human trafficking, internally displaced persons, and the indigent population.

The implementation structure involves coordination between federal, state, and local levels. State Primary Health Care Boards/Agencies and Local Government Health Authorities serve as conduits for fund disbursement and service delivery. The Fund represents Nigeria's commitment to Universal Health Coverage and symbolizes the nation's dedication to ensuring equitable access to quality healthcare for all citizens, regardless of their ability to pay."
517021023,"22. BAYERO UNIVERSITY, KANO","Bayero University, Kano (BUK) was established by Federal Government Decree in 1975, with its legal framework formalized under the Bayero University Act (Decree No. 79 of 1979, as amended). The university traces its origins to Ahmadu Bello College, founded in January 1960 by the Northern Nigeria Ministry of Education to prepare secondary certificate holders for advanced studies in Arabic, Hausa, Islamic History, Islamic Studies, and English Literature.

Following the establishment of Ahmadu Bello University in Zaria in 1962, the college was renamed Abdullahi Bayero College, after Abdullahi Bayero, Emir of Kano. In 1975, it was elevated to Abdullahi Bayero University College with degree-awarding powers under continued ABU affiliation and its own Governing Council. By 1977, a Federal Government decree transformed it into an independent institution renamed Bayero University Kano, with Dr. Mahmud Tukur appointed as the pioneer Vice-Chancellor.

As a federal university, BUK operates under the governance structure established by Nigerian university legislation. The university is headed by a Chancellor appointed by the President, a Pro-Chancellor appointed by the President on the recommendation of the Minister, and a Vice-Chancellor who serves as the chief executive and academic officer. The Senate handles academic policy, curriculum approval, and examinations, while the Governing Council provides oversight for administrative and financial matters.

The university's mandate encompasses the advancement of learning through teaching, research, and community service. BUK is organized into multiple faculties including Arts and Islamic Studies, Agricultural Sciences, Computer Science and Information Technology, Communication, Engineering, Earth and Environmental Sciences, Education, Law, Management Sciences, Social Sciences, and Veterinary Medicine, along with two colleges: the College of Health Sciences and the College of Natural and Pharmaceutical Sciences.

The university maintains specialized research centers addressing regional challenges in agriculture, governance, public health, and education, including the Africa Centre of Excellence in Dryland Agriculture (ACE DA), the Centre for Advanced Medical Research, and the Centre for Infectious Diseases. The university library, established in 1964, supports teaching, learning, and research activities by acquiring, processing, preserving, and disseminating information resources. As the first university in Kano State and northwestern Nigeria, BUK has a unique mandate to serve as a center of excellence for cultural studies while advancing scientific and technological education in the region."
252038001,23. BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,"The Benin-Owena River Basin Development Authority (BORBDA) is one of the twelve River Basin Development Authorities established by the Federal Government of Nigeria under the River Basins Development Authorities Act of 1986 (which repealed the 1979 Act). BORBDA operates as a parastatal of the Federal Ministry of Water Resources with headquarters at Km 24, Benin/Sapele Road, Obayantor, Benin City, Edo State.

The Authority's operational area covers three states—Edo, Ondo, and Ekiti—and one senatorial district in Delta State. BORBDA is mandated to harness and develop water resources for sustainable agricultural production, water supply, flood control, and socio-economic development within the Benin-Owena River Basin.

Under Section 4(1) of the River Basin Development Authorities Act, BORBDA's statutory functions include: undertaking comprehensive development of both surface and underground water resources for multipurpose use, with particular emphasis on the provision of irrigation infrastructure and the control of floods and erosion, as well as watershed management; constructing, operating, and maintaining dams, dykes, polders, wells, boreholes, irrigation and drainage systems, and other works necessary for the achievement of the Authority's functions; handing over all lands to be cultivated under irrigation schemes to farmers after development; supplying water from completed storage schemes to all users for a fee; and developing and maintaining a comprehensive water resources master plan identifying all water resources requirements in the Authority's area of operation through adequate collection and collation of water resources, water use, socio-economic, and environmental data of the River Basin.

Key infrastructure projects under BORBDA include the Owena Multipurpose Dam, which provides irrigation water, hydroelectric power, and flood control; various irrigation schemes including the Ogbese and Eporo schemes aimed at boosting agricultural productivity; and urban and rural water supply schemes providing potable water to communities across its coverage area. The Authority aligns with federal government directives to promote all-season agriculture for socio-economic development, targeting youth employment through expanded irrigation infrastructure and related agricultural support services."
228009001,24. NATIONAL BOARD FOR TECHNOLOGY INCUBATION,"The National Board for Technology Incubation (NBTI) was established in 1992 by the Federal Government of Nigeria as a parastatal under the Federal Ministry of Innovation, Science and Technology. The Board is the apex institution responsible for the coordination and management of the Technology Incubation Programme (TIP) in Nigeria, serving as the only agency of government mandated to commercialize research and development results.

NBTI's vision is to pursue the commercialization of technologies and technical innovations using Technology Incubation as a tool to enhance the attainment of technological, industrial, social, and economic competitiveness of the country and improve the quality of life of its citizens. The Board's mission is to develop the necessary infrastructure for nurturing technology start-ups, promote Nigeria's indigenous potentials through value-added and technology-related activities, and create an enabling environment for effective linkage amongst technology providers, entrepreneurs, capital, and know-how to accelerate the development of new enterprises.

The core mandates of NBTI include: creating, nurturing, and developing value-added technology-based enterprises; promoting and facilitating the application of indigenous technologies and knowledge; providing support services including training, business advice, funding, and technology knowledge to incubatees; linking graduating entrepreneurs with pertinent larger industries, the Nigerian Export Promotion Council (NEPC), and investors; and facilitating the establishment of Technology Incubation Centres (TICs) and Science and Technology Parks across the country.

NBTI has established a Technology Incubation Centre in each state of the Federation, with six extensions, totaling over 37 facilities nationwide. The first TIC was established at Agege, Lagos in 1993. The incubation process involves three stages: the first stage covers take-off and establishment requirements; the second stage marshals company growth including preparation of bankable investment plans, quality assurance, marketing strategies, and relocation to larger factory spaces. The programme supports entrepreneurs through both resident incubation (3-4 years maximum) and non-resident incubation (4-5 years) before graduation to the wider economy.

The Board operates through multiple departments including the Post Incubation and Extension Services Department, which monitors graduated entrepreneurs, provides benchmarking services, and supports the establishment of Industrial, Science and Technology Parks through Public-Private Partnerships. NBTI has successfully facilitated the listing of several incubatee companies on the Nigerian Stock Exchange, with some achieving local and international awards."
161022001,25. BORDER COMMUNITIES DEVELOPMENT AGENCY (BCDA),"The Border Communities Development Agency (BCDA) was established by an Act of the National Assembly known as the Border Communities Development Agency Act, 2003 (as amended in 2006). The Agency is a federal government interventionist body created to ensure the sustainable social, economic, and infrastructural development of border communities in Nigeria. The formal inauguration of the Governing Board occurred on December 10, 2009.

BCDA operates under the Presidency with headquarters in the Federal Capital Territory, Abuja, and maintains offices in border states. The Agency addresses the persistent underdevelopment and neglect of border communities situated along Nigeria's international boundaries, which frequently lack adequate infrastructure, social services, and economic opportunities.

Under Section 3 of the Establishment Act, BCDA's functions include: preparing a comprehensive programme of action for the development of border communities; preparing and submitting proposals on projects for border communities to the President; advising the Federal Government on border areas development and related issues; consulting with relevant border communities and liaising with the Federal Government on areas required for overall development; identifying and determining infrastructural projects required for the overall development of border communities annually; executing border development policies, projects, and programmes; coordinating the activities of all relevant Ministries in implementing Federal Government policies and programmes for border community development; setting guidelines for the implementation and monitoring of Federal Government projects in border communities; planning and developing strategies for efficient and effective implementation of federal projects within border states; receiving and administering funds allocated from the Federation Account; and maintaining accounts with reputable banks.

The Agency covers over 2,000 border communities across 155 local government areas within 21 states that share international boundaries. Its intervention areas span both social and economic sectors: the social sector includes education, health facilities, clean water, and clean energy provision; the economic sector encompasses border markets, agricultural activities, grants, poverty alleviation, and empowerment programmes. BCDA serves as the secretariat of the Presidential Committee on the Security situation in Bakassi Peninsula, mandated to ensure the security and welfare of displaced persons from the ceded territory.

The Governing Board is chaired by the Vice-President of the Federation and includes the Attorney-General of the Federation, Ministers from various federal ministries, security chiefs, and representatives from the six geo-political zones, providing high-level coordination for border development initiatives."
238005001,26. BUDGET OFFICE OF THE FEDERATION,"The Budget Office of the Federation was established within the Federal Ministry of Budget and Economic Planning to provide budget functions, implement budget policies, and oversee fiscal policies of the Federal Government of Nigeria. The Office operates as the technical arm responsible for budget preparation, formulation, implementation, monitoring, and evaluation across federal government ministries, departments, and agencies.

The Budget Office derives its operational mandate from Section 81 of the Constitution of the Federal Republic of Nigeria, 1999, which stipulates that ""the President shall cause to be prepared and laid before each House of the National Assembly at any time in each financial year estimates of the revenues and expenditure of the Federation for the next following financial year.""

The mission of the Budget Office is to provide efficient and qualitative budget functions to Nigeria, geared towards promoting fiscal sustainability, transparency, and accountability in public finance management for national development in line with international best practices. Its vision is to be a world-class, technology-driven budget institution that serves as a catalyst for equitable mobilization and distribution of the nation's resources to engender sustainable socio-economic development.

All budget systems under the Office have three basic tasks: maintaining aggregate fiscal discipline, allocating resources in accordance with government priorities, and promoting the efficient delivery of services. The Office's specific functions include: revenue estimation using current and realistic assumptions on oil production and prices; estimation of non-oil receipts; developing macroeconomic frameworks used in aggregate fiscal estimates for the Medium Term Expenditure Framework; specifying fiscal policy objectives; analyzing macroeconomic frameworks and associated fiscal risks; coordinating the preparation of annual budget proposals; monitoring budget implementation across MDAs; and conducting budget evaluation and reporting.

The Budget Office is structured into six operational departments: Revenue/Fiscal Policy, Expenditure Social, Expenditure Economics, Budget Monitoring and Evaluation, Human Resources Management, and Finance and Accounts. Supporting units include ICT, Anti-Corruption and Transparency Unit (ACTU), Procurement, Legal, Stock Verification, Internal Audit, and SERVICOM. The Office of the Director-General coordinates overall budget functions and supports departments in achieving their mandates. Budget information is presented to facilitate policy analysis and promote accountability, with data reported on a gross basis distinguishing revenue, expenditure, and financing, classified by economic, functional, and administrative categories."
111007001,27. BUREAU OF PUBLIC ENTERPRISES (BPE),"The Bureau of Public Enterprises (BPE) was established under the provisions of the Public Enterprises (Privatisation and Commercialisation) Act of 1999, which also created the National Council on Privatisation (NCP). The Bureau serves as the Secretariat of the NCP and is charged with the overall responsibility of implementing the Nigerian policy on privatisation and commercialisation.

The establishment of BPE has historical antecedents. The Technical Committee on Privatisation and Commercialisation (TCPC) was set up in 1988 under the Privatisation and Commercialisation Decree No. 25 to implement Nigeria's first phase of privatisation. Upon conclusion of its assignment in 1993, the Bureau of Public Enterprises Act of 1993 was promulgated, repealing the 1988 Act and establishing the Bureau. The 1999 Act further restructured the privatisation framework under the democratic dispensation.

The primary mandate of BPE is to drive the Federal Government's programme of privatising public enterprises, carrying out sector reforms, and liberalizing key economic sectors, especially the infrastructure sector. Under the Act, the Bureau's functions include: implementing the Nigerian policy on privatisation and commercialisation; preparing public enterprises approved for privatisation and/or commercialisation; carrying out public sector reform for maximum and efficient allocation of resources; facilitating the sale of shares of public enterprises through issuing houses in accordance with approved guidelines; engaging consultants, advisers, investment bankers, issuing houses, stockbrokers, solicitors, trustees, accountants, and other professionals required for privatisation purposes; and ensuring the overall success of the programme through effective post-transactional performance monitoring and evaluation.

The NCP, chaired by the Vice President, provides the overall strategic direction and policy framework, determining political, economic, and social objectives of privatisation and commercialisation. Some strategies utilized in the reform exercise include competitive asset sale, concession, core investor sale, guided liquidation, and private placement.

From 2000 to present, the NCP through BPE has successfully completed over 149 transactions and initiated far-reaching reforms in telecommunications, pensions, seaports, debt management, solid minerals, and the power sector—including the successful unbundling and privatisation of successor companies created from the Power Holding Company of Nigeria (PHCN). These reforms led to the establishment of regulatory agencies including the Nigerian Pension Commission (PenCom), Nigerian Electricity Regulatory Commission (NERC), Debt Management Office (DMO), Nigeria Electricity Liability Management Company (NELMCO), and Nigeria Electricity Bulk Trader (NBET)."
111010001,28. BUREAU OF PUBLIC PROCUREMENT (BPP),"The Bureau of Public Procurement (BPP) was established by the Public Procurement Act, 2007 (Act No. 14 of 2007), which came into force on June 4, 2007. The Act established both the National Council on Public Procurement and the Bureau of Public Procurement as the regulatory authorities responsible for the monitoring and oversight of public procurement in Nigeria.

The Bureau evolved from the Budget Monitoring and Price Intelligence Unit (BMPIU), also known as the ""Due Process Office,"" established in 2001 as part of the Federal Government's anti-corruption and public expenditure reforms. The 2007 Act institutionalized these reforms by creating a permanent legal and regulatory framework for public procurement.

The primary objectives of the Bureau, as stated in Section 4 of the Act, are: establishing pricing standards and benchmarks; ensuring the application of fair, competitive, transparent, value-for-money standards and practices for the procurement of public goods, works, and services; attaining transparency, competitiveness, cost-effectiveness, and professionalism in the public sector procurement system; ensuring the accountability of public officers for public procurement decisions; and applying the provisions of the Act in preventing fraudulent and unfair procurement practices.

Under Section 5, the Bureau's functions include: formulating general policies and guidelines relating to public sector procurement for Council approval; publicizing and explaining the provisions of the Act; certifying federal procurement prior to contract award subject to thresholds set by the Council; supervising implementation of established procurement policies; monitoring prices of tendered items and maintaining a national database of standard prices; publishing details of major contracts in the procurement journal; maintaining paper and electronic editions of the procurement journal with archival systems; maintaining a national database of particulars, classification, and categorization of federal contractors and service providers; collating and archiving all federal procurement plans and information; undertaking procurement research and surveys; organizing training and development programmes for procurement professionals; periodically reviewing thresholds and procurement methods; and publishing annual reports on federal procurement.

The Bureau has the power to apply administrative sanctions, including debarring any supplier, contractor, or service provider that contravenes the Act. It provides the framework for procurement planning, methods, execution, enforcement, and review, ensuring that all procuring entities operate in strict adherence to the Act and regulations. The Bureau also maintains the database of accredited locally manufactured brands to promote local content in government procurement."
161025001,29. BUREAU OF PUBLIC SERVICE REFORMS (BPSR),"The Bureau of Public Service Reforms (BPSR) was established on February 4, 2004, by Presidential Directive during President Olusegun Obasanjo's administration as part of a broader initiative to revitalize the Nigerian Public Service. The establishment was formalized under Decree No. 25 of 1999, which outlined the Bureau's mandate and responsibilities. BPSR operates as an agency under the Presidency with headquarters at the Federal Secretariat Complex, Shehu Shagari Way, Garki, Abuja.

The Bureau was formed in response to growing inefficiencies within the Nigerian bureaucracy, including poor staff morale, low productivity, progressive decay observed during the oil boom era (1970s-1990s), and lack of proper incentives for public servants. Key initial goals included streamlining the public service, setting minimum standards for staff strength, and implementing remuneration reforms to attract and retain quality staff.

BPSR's primary mandate is to provide leadership in developing and implementing public service reforms to improve Nigeria. The Bureau's mission is to enhance the efficiency, effectiveness, and transparency of public service delivery through the initiation and implementation of innovative reforms and coordination among government agencies. Its vision is to facilitate the building of Nigeria's Public Service into a highly functional, professional, customer-focused, and results-oriented institution.

Key responsibilities include: initiating, coordinating, monitoring, and evaluating the implementation of reform programs and policies; conducting research on reform efforts and presenting best practice models for ministries, parastatals, and government agencies; provision of institutional capacity building for government agencies fostering continuous learning and professional development; improving service delivery through programmes like SERVICOM (Service Compact with All Nigerians), ensuring responsiveness and efficiency; delivering robust performance management systems to measure and manage performance of public servants and government agencies; providing workforce management solutions including recruitment, placement, and retention strategies; and delivering advisory services to government on public service matters.

The Bureau coordinates with the Office of the Head of Civil Service of the Federation, the Public Service Commission, and other government institutions involved in public service reforms. BPSR has developed guides on managing and reforming government agencies and parastatals, including web-based self-assessment tools. The Bureau leads the update of the National Strategy for Public Service Reform (NSPSR), a 10-year strategy built on four pillars: improving the governance and institutional environment, improving the socio-economic environment, improving public finance management, and improving civil service administration."
256009001,30. CENTRE FOR BLACK AND AFRICAN ARTS AND CIVILIZATION (CBAAC),"The Centre for Black and African Arts and Civilization (CBAAC) was established by Decree No. 69 of 1979 following the successful and epoch-making hosting of the 2nd World Black and African Festival of Arts and Culture (FESTAC '77) in Lagos, Nigeria. CBAAC is a parastatal under the Federal Ministry of Information and National Orientation (formerly Federal Ministry of Arts, Culture, Tourism and the Creative Economy).

The Centre was created in fulfillment of Nigeria's pledge to keep the materials from FESTAC '77 in trust for the 59 Black and African countries and communities that participated in the festival. It houses all materials constituting the core collections, artifacts, and rare cultural items used during the historic festival.

Under Section 4 of the establishing Decree, CBAAC shall be a multi-disciplinary institution with responsibility for: the promotion of public interest in Black and African arts and civilization; the preservation of creative works of value from participating countries during FESTAC '77 or similar cultural manifestations; acquiring from zonal secretaries of the 1977 Festival and any other source, creative records relating to past and future world, regional, or national festivals of arts and culture relevant to Black and African arts and civilization; promoting understanding and appreciation of Black and African arts and cultures by involving the general public through lectures, discussions, symposia, exhibitions, performances, and demonstrations of arts and crafts.

The Centre maintains four main collection components: Archives, Library, Audio-Visual (housing FESTAC VCDs, CDs, DVDs, videocassettes, gramophone records, and promotional films), and Museum materials. The collections include materials on Nigeria and Africa's cultural festivals from 59 Black and African countries and communities.

In 2000, following the report of the Presidential Panel on the Review, Harmonization, and Rationalization of Federal Parastatals, Institutions, and Agencies, CBAAC was upgraded to a Pan-African Heritage Center, a status it maintains to date. The Centre's strategic mandate positions Nigeria as the arrowhead in the presentation, promotion, and propagation of African cultural heritage and civilization.

CBAAC achieves its goals through periodic seminars, workshops, public lectures, arts exhibitions, and symposia. The Centre maintains zonal offices across Nigeria and has hosted visits from prominent African leaders and international dignitaries. Its work emphasizes the contribution of Black and African peoples to world civilization and the preservation of Africa's rich cultural legacy for future generations."
238003001,31. CENTRE FOR MANAGEMENT DEVELOPMENT (CMD),"The Centre for Management Development (CMD) is a national apex resource institution established in 1973 by the Federal Government of Nigeria as the operational arm of the Nigerian Council for Management Development (NCMD). The Centre received its legal status under Decree 51 of October 4, 1976, and operates under the supervision of the Ministry of Budget and Economic Planning.

The NCMD was established following recognition at a meeting of the National Manpower Board on October 20, 1965, that the major bottleneck in efforts to raise productivity was the comparatively low quality of management skills at all levels. The meeting noted that while considerable facilities for management training existed, lack of effective coordination and absence of a central information source led to wastage and unnecessary duplication of courses.

In 2004, CMD's mandate was enlarged when the Federal Executive Council, in line with the Federal Government's reform policy, approved the merger of CMD and the National Centre for Economic Management and Administration (NCEMA), Ibadan. Through this merger, CMD assumed additional responsibility to strengthen skills of public officers involved in economic planning, budgeting, project design, implementation and monitoring, and economic policy formulation.

The Centre's mandates, as established under the Nigerian Council for Management Development Act, 2022 (As amended), include: policy making, promotion, and coordination of managerial manpower development; accreditation and registration of management trainers and training institutions; advising on management policies; coordinating management training programs and developing standards; maintaining a register of training institutions; sanctioning or prohibiting unaccredited management trainers or institutions; and periodically assessing training programs offered by public and private institutions.

Under Section 16 of the establishing Decree, CMD's specific functions include: providing background information and technical data necessary for the Council's policy-making and coordinating functions; providing management advisory and consultancy services to Nigerian enterprises; establishing and maintaining an up-to-date library for management studies; publishing journals, research papers, and books on modern management and supervisory techniques; sponsoring, promoting, and conducting research into all aspects of management in relation to the Nigerian situation; and designing and providing suitable training packages for small-scale industrialists and officials of federal/state agencies responsible for developing small-scale industries.

CMD's vision is to be a world-class Management Development Institution that sets standards for excellence in management development and economic administration. The Centre operates from its headquarters in Abuja and maintains zonal offices in Kano, Lagos, Ibadan, Owerri, Gombe, and Uyo, enabling outreach to different parts of the country. CMD has facilitated the establishment of professional associations aimed at raising management standards in Nigeria."
535005001,32. CHAD BASIN NATIONAL PARK,"Chad Basin National Park was established in 1991 under Decree No. 36 of 1991, which created the Nigeria National Park Service and designated five initial national parks. The park operates under Act 46 of 1999 (Cap 65 LFN 2004) as one of seven national parks under the overall administration of the Nigeria National Park Service (NNPS), a Federal Parastatal under the supervision of the Federal Ministry of Environment.

The park is located in the Sudano-Sahelian ecological zone of northeastern Nigeria, spanning Borno and Yobe States, with a total area of approximately 2,258 square kilometers. It is fragmented into three sectors: the Chingurmi-Duguma sector (1,228 km²) in Borno State within a Sudanian savanna ecological zone; the Bade-Nguru Wetlands sector (938 km²); and the Bulatura Oases sector (92 km²), both in Yobe State within the Sahel ecological zone.

Under the National Park Service Act, the park's mandate includes: establishment of an ecologically and geographically balanced network of protected areas under Federal Government jurisdiction and control; protection of endangered species of wild plants and animals and their habitats; conservation of wildlife throughout Nigeria so that the abundance and diversity of species are maintained at optimum levels commensurate with other forms of land use, ensuring continued existence of wildlife for sustainable utilization; preservation of outstanding scenic, natural, scientific, recreational, and other values; and protection and maintenance of crucial wetlands and water catchments.

Chad Basin National Park operates under Category II of the IUCN (International Union for Conservation of Nature), prioritizing conservation and sustainable tourism. The park combines the former Chingurmi-Dugoma Game Reserve, Gorgoram and Zurgun Baneri Forest Reserves, and Bulature Oasis. It lies within the historical region of the former Kanem-Bornu Empire.

The park is home to diverse wildlife including giraffes and ostriches (the only stronghold for these species in Nigeria), elephants, red-fronted gazelles, hippopotamuses, crocodiles, jackals, mongoose, spotted hyenas, and giant tortoises. Over 532 bird species have been recorded, including the vulnerable black-crowned crane, demoiselle cranes, white storks, and various waterfowl. The Bade-Nguru Wetlands (part of the internationally renowned Hadejia-Nguru Wetlands) and the Dagona Waterfowl Sanctuary are recognized as internationally significant habitats for waterbird populations and Palearctic migrants.

The park borders the Waza National Park in Cameroon, and authorities from both countries cooperate to prevent poaching and raise conservation awareness among local populations."
252039001,33. CHAD BASIN DEVELOPMENT AUTHORITY,"The Chad Basin Development Authority (CBDA) was established by Decree No. 32 of 1973 following the severe drought and famine in Northern Nigeria in 1972/73. The Federal Military Government created CBDA alongside the Sokoto-Rima River Basin Development Authority (Decree No. 33 of 1973) as the first River Basin Development Authorities in Nigeria. These decrees were subsequently amended by Decree 37 of 1976, consolidated by Decree 87 of 1979, and further revised by Decree No. 35 of 1987, which redefined CBDA as a water resources development agency.

CBDA operates as a parastatal of the Federal Ministry of Water Resources with its head office in Maiduguri, the capital of Borno State. The Authority's area of jurisdiction covers the whole of Borno and Yobe States and parts of northern Adamawa State, spanning from Maiha Local Government Area to Madagali Local Government Area (covering seven LGAs). Project offices are established in New Marte, Ngala, Baga, and Gora in Borno State; Potiskum and Gashua in Yobe State; and Michika in Adamawa State.

Under the River Basins Development Authorities Act, CBDA's statutory functions include: undertaking comprehensive development of both surface and underground water resources for multipurpose use, with particular emphasis on irrigation infrastructure provision and flood and erosion control, as well as watershed management; constructing, operating, and maintaining dams, dykes, polders, wells, boreholes, irrigation and drainage systems, and other works necessary for achieving the Authority's functions; handing over all lands developed under irrigation schemes to farmers; supplying water from completed storage schemes to all users for a fee; and developing and maintaining comprehensive water resources master plans identifying all requirements in the Authority's area of operation.

CBDA's flagship projects include the South Chad Irrigation Project, launched in 1974 to mitigate drought effects by developing 67,000 hectares of irrigable land in Borno State for enhanced agricultural productivity and food security. The Alau Dam, a multipurpose dam completed in 1988 with a capacity of 112 million cubic meters, irrigates 8,000 hectares in Jere Bowl, supplies water to Maiduguri, and supports tourism development.

Nigeria's membership in the Lake Chad Basin Commission (LCBC), established in 1964 by Chad, Cameroon, Niger, and Nigeria, provides a framework for transboundary cooperation in managing shared Lake Chad water resources. CBDA continues its mission of sustainable water management and agricultural development, aligning with federal mandates to prioritize all-season agriculture for socio-economic upliftment and youth employment in rural zones."
555003001,34. CITIZENSHIP AND LEADERSHIP TRAINING CENTRE (CLTC),"The Citizenship and Leadership Training Centre (CLTC) was established by the Citizenship and Leadership Training Centre Act to provide training for the development of citizenship and leadership for public benefit. The Centre is a parastatal in the Federal Ministry of Youth Development, principally serving as a human resource development outfit for training and molding Nigerian citizenry to become responsible and respectable citizens and leaders.

The Centre is unique as the only informal educational institution in Nigeria that executes experiential and Outward Bound education. It provides citizenship and leadership training in an atmosphere where self-discovery and self-actualization are based on individual competence and ability, irrespective of origin, belief, or class.

Under Section 2 of the Establishment Act, the objects of the Centre are to: provide training for development of citizenship and leadership for public benefit; enhance and expand individual awareness; inculcate in individuals qualities of self-discipline, self-reliance, and selfless service; develop national consciousness and international understanding; and seek to engineer a general reorientation of values.

The Centre's governance structure includes the Citizenship and Leadership Training Centre Management Board, a body corporate with perpetual succession and common seal, charged with general management and control of the Centre. The Board has powers to: establish Man O' War clubs and associations and formulate policy guidelines for running such clubs and associations; encourage and provide for research at the Centre; accept gifts, legacies, and donations consistent with Centre objectives; and with ministerial approval, manage property and investments.

CLTC operates training programmes across multiple categories: Man O' War Clubs and Commands for primary and junior secondary school students; training for senior secondary school students and teenagers; specialized programmes for civil servants (senior and middle-level public servants) to equip them with leadership qualities and citizenship responsibilities; and programmes for security agencies, paramilitary organizations, and corporate bodies.

The Centre's vision is to be a world-class provider of quality training that empowers Nigerians for good citizenship and responsible leadership. Its mission involves providing a sustainable framework for citizenship and leadership training and value re-orientation. The Mountain School at Shere Hills, Lamingo, Jos serves as the main training facility. The Centre operates through five geographical zones: Zone 1 (Northeast/North-Central with headquarters in Jos), Zone 2 (South-South/Southeast with headquarters in Port Harcourt), Zone 3 (Southwest with headquarters in Ibadan), Zone 4 (Northwest with headquarters in Sokoto), and Zone 5 (Lagos State)."
124005001,"35. CIVIL DEFENCE, CORRECTIONAL, FIRE AND IMMIGRATION SERVICES BOARD (CDCFIB)","The Civil Defence, Correctional, Fire and Immigration Services Board (CDCFIB) was originally established as the Customs, Immigration and Prisons Services Board by Decree No. 14 of July 1986 under the Chairmanship of the Honourable Minister of Internal Affairs. The Board has undergone several name changes reflecting changes in its constituent services.

Initially, the Board was charged with administering the Customs and Excise Management Act (CEMA) of 1958, the Immigration Act of 1963, and the Prisons Act of 1972. In 1992, the Nigeria Customs Service was excised and placed under the Federal Ministry of Finance, changing the Board's name to ""Immigration and Prisons Services Board"" (IPB). With the enactment of the Nigeria Security and Civil Defence Corps Act in June 2003, which placed the administration of the new organization under the Board, its name changed to Civil Defence, Immigration and Prisons Service Board (CDIPB). Following the renaming of Nigerian Prisons Service to Nigerian Correctional Service and the inclusion of the Federal Fire Service, the Board became the Civil Defence, Correctional, Fire and Immigration Services Board (CDCFIB).

The Board operates under the Federal Ministry of Interior and is the governing body for four paramilitary agencies: the Nigeria Security and Civil Defence Corps (NSCDC), which focuses on protecting critical infrastructure, disaster management, crowd control, and internal security operations; the Nigeria Correctional Service (NCoS), responsible for inmate rehabilitation, prison security, and reformation programs; the Federal Fire Service (FFS), which handles fire prevention, control, investigation, and emergency rescue operations; and the Nigeria Immigration Service (NIS), which manages migration control, passport issuance, and border protection.

The Board's responsibilities include: recruitment and appointments into the four services; promotion and disciplinary matters affecting officers; manpower planning and training coordination; and policy formulation related to human resources in the paramilitary agencies. The Board has exclusive responsibility for the appointment, promotion, and discipline of all officers within these services.

CDCFIB's vision is to develop virile, motivated, and disciplined paramilitary services that ensure peace, safety, and stability of the country. The Board coordinates recruitment exercises for qualified Nigerians across all geopolitical zones in line with the Federal Character Principle, fostering inclusivity, unity, and equity in the composition of these essential security services."
